,bcity_count,Lat_bcity,Lng_bcity
0,109,41.8781136,-87.62979820000001
1,81,34.0522342,-118.24368490000002
2,77,39.9525839,-75.1652215
3,63,40.6781784,-73.94415790000001
4,58,40.7127753,-74.0059728
5,52,38.9071923,-77.03687070000001
6,52,42.331427000000005,-83.0457538
7,36,39.2903848,-76.6121893
8,34,33.7489954,-84.3879824
9,33,32.7766642,-96.7969879
10,28,35.1495343,-95.36980279999999
11,28,29.7604267,-90.0489801
12,22,29.95106579999999,-90.0715323
13,21,38.252664700000004,-85.7584557
14,20,33.5185892,-90.1994042
15,20,47.6062095,-86.8103567
16,20,39.768403,-86.158068
17,20,40.844781899999994,-122.33207079999998
18,20,38.6270025,-73.86482679999999
19,19,43.0389025,-87.9064736
20,19,37.7749295,-122.4194155
21,19,37.804351399999994,-122.27116389999999
22,18,39.758947799999994,-91.1871466
23,18,41.499320000000004,-84.1916069
24,18,30.451467699999995,-81.6943605
25,17,33.770050399999995,-122.6750261
26,17,45.5051064,-118.1937395
27,16,39.9611755,-82.99879419999998
28,15,40.7282239,-73.7948516
29,15,39.103118200000004,-93.2650108
30,15,44.977753,-84.5120196
31,14,32.298757300000005,-90.1848103
32,13,40.735657,-74.1723667
33,13,43.012527399999996,-83.6874562
34,12,35.2270869,-80.8431267
35,11,32.715738,-74.0431435
36,11,41.6528052,-117.1610838
37,11,42.360082500000004,-71.0588801
38,11,36.1626638,-83.53786740000001
39,11,40.7177545,-86.78160159999999
40,10,37.540724600000004,-80.24421600000001
41,10,36.09985959999999,-98.4936282
42,10,29.4241219,-87.3371523
43,10,41.6020403,-77.4360481
44,9,44.786568,-73.8370786
45,9,40.9125992,-118.3531311
46,9,25.7616798,-117.3754942
47,9,43.15657789999999,-80.1917902
48,9,43.653226000000004,-77.6088465
49,9,40.760779299999996,-79.9958864
50,9,33.9806005,-97.5164276
51,9,40.44062479999999,-72.6733723
52,9,41.76580429999999,-79.3831843
53,9,35.4675602,-95.992775
54,9,33.9616801,20.448921600000002
55,9,36.1539816,-111.89104740000002
56,8,32.5093109,-92.1193012
57,8,30.6953657,-85.13935129999999
58,8,33.8958492,-81.378447
59,8,42.88644679999999,-118.2200712
60,8,38.5815719,-78.8783689
61,8,41.079273,-81.65565099999998
62,8,40.79894729999999,-88.0398912
63,8,30.3321838,-121.49439960000001
64,7,43.5081323,-82.0105148
65,7,33.4734978,144.96305759999998
66,7,43.419469899999996,16.4401935
67,7,39.739235799999996,-104.990251
68,7,37.338208200000004,-121.88632859999998
69,7,36.737798100000006,-119.78712469999999
70,7,-37.813627600000004,-83.9508068
71,6,43.0481221,-86.25198979999998
72,6,41.610034399999996,-85.6680863
73,6,36.169941200000004,-81.0348144
74,6,41.308274,-78.6381787
75,6,32.0808989,-94.5785667
76,6,32.5251516,-92.2895948
77,6,39.0997265,-115.13982959999998
78,6,41.676354499999995,-93.75017890000001
79,6,38.040583700000006,-84.50371640000002
80,6,40.2205824,-73.567256
81,6,42.9633599,-72.9278835
82,6,45.5016889,-87.6467131
83,6,35.7795897,-74.75971700000001
84,6,34.0007104,-81.09120300000001
85,6,32.3792233,-86.3077368
86,6,34.7464809,-76.14742439999998
87,5,33.95260200000001,-81.51900529999998
88,5,40.4167754,-112.07403729999999
89,5,27.950575,-17.4676861
90,5,32.8406946,-119.0187125
91,5,41.081444700000006,-87.68769689999998
92,5,35.3732921,-95.93450340000001
93,5,41.2565369,-122.27304199999999
94,5,35.2626635,-82.4571776
95,5,33.4483771,-84.9877094
96,5,47.252876799999996,-83.6324022
97,5,42.732535,-85.3863599
98,5,32.4609764,-122.4442906
99,5,32.7554883,-0.12775830000000002
100,5,14.716676999999999,-77.5816353
101,5,42.0450722,23.9035965
102,5,34.85261759999999,-82.3940104
103,5,54.898520700000006,-84.55553470000001
104,5,51.5073509,-3.7037902000000003
105,5,42.7261309,-87.78285230000002
106,5,37.871522600000006,-97.3307658
107,5,40.1933767,-84.5499327
108,4,31.578507399999996,-97.330053
109,4,35.99403289999999,-79.93105120000001
110,4,40.8932469,-81.18730049999998
111,4,41.1792258,-73.7889689
112,4,29.2108147,-118.1445155
113,4,35.262082,-77.7905339
114,4,42.1167065,-94.3985475
115,4,39.744655,-71.8022934
116,4,34.1083449,-77.026088
117,4,32.3643098,-75.1196199
118,4,41.8239891,-87.4886186
119,4,42.3636331,-86.45418939999998
120,4,46.0569465,2.3522218999999995
121,4,40.233843799999995,-78.898619
122,4,35.1464797,-81.02283309999999
123,4,36.865600799999996,-87.84479379999998
124,4,39.11553139999999,-84.15574099999998
125,4,40.702677,-111.6585337
126,4,38.99066570000001,-75.54839090000002
127,4,18.017874300000003,-89.58898640000001
128,4,42.262593200000005,-89.09399520000001
129,4,32.776474900000004,-77.6077865
130,4,-34.6036844,-94.6267873
131,4,36.072635399999996,-117.2897652
132,4,39.083671200000005,-84.5085536
133,4,48.856614,-76.8099041
134,4,34.1477849,-75.3557457
135,4,39.849557,-88.70365600000001
136,4,35.385924200000005,14.5057515
137,4,37.68717609999999,-90.1845388
138,4,39.9259463,-73.18943840000001
139,4,35.938210299999994,-74.0116536
140,4,42.2711311,-58.381559100000004
141,4,40.6936488,-79.79197540000001
142,3,18.4860575,-71.4128343
143,3,50.4501,-92.0031955
144,3,39.9356016,-74.4518188
145,3,41.5868353,-73.94854240000001
146,3,-31.6106578,-96.7025955
147,3,34.01945429999999,-90.1795281
148,3,29.187198600000002,-91.66562320000001
149,3,43.34377480000001,2.1734035
150,3,41.71513770000001,-85.3096801
151,3,40.744679,-87.2169149
152,3,40.5583739,-86.88721899999999
153,3,30.365755199999995,-60.69729399999999
154,3,18.594395000000002,28.978358899999996
155,3,42.291706899999994,-77.88681170000001
156,3,35.1595182,-84.8766115
157,3,36.835425799999996,-78.3947359
158,3,36.8453199,-83.7596557
159,3,40.3611643,-77.0469214
160,3,39.41426879999999,-118.4911912
161,3,43.07305170000001,-85.5872286
162,3,34.730368799999994,-74.2107006
163,3,32.430237,-87.5710898
164,3,33.835849200000006,-74.02375119999998
165,3,41.9778795,-72.30743259999998
166,3,33.6255234,44.827096000000004
167,3,41.8791979,-85.7077266
168,3,40.273191100000005,-79.9414266
169,3,35.0456297,-87.41390919999998
170,3,39.4667034,-76.88670079999999
171,3,34.2103894,-82.14009229999998
172,3,40.6639916,23.7275388
173,3,40.5186809,-76.2874927
174,3,38.3498195,-89.6501481
175,3,40.813615999999996,-77.41054090000002
176,3,30.42130899999999,-110.9747108
177,3,32.2226066,-117.42604650000001
178,3,40.779545500000005,-69.93121169999999
179,3,36.7682088,-76.29827420000001
180,3,40.7706187,-89.4012302
181,3,37.270970399999996,-81.6326234
182,3,34.0686208,-74.17181099999998
183,3,37.9715592,-117.93895259999998
184,3,37.441883399999995,-87.8431155
185,3,47.6587802,-93.6249593
186,3,34.0928092,-86.5861037
187,3,40.4862157,-88.5561272
188,3,37.562991700000005,-118.34062879999999
189,3,37.9838096,-85.6591442
190,3,40.916765399999996,17.8077578
191,3,41.3850639,-91.40987259999999
192,3,34.2284312,-74.2326478
193,3,41.0082376,-118.3286614
194,3,38.804835499999996,30.5234
195,3,39.78172130000001,-122.14301950000001
196,3,33.5162315,-91.3945566
197,2,49.3987524,-122.32552539999999
198,2,40.335648299999995,-80.8556476
199,2,10.480593699999998,-90.4531535
200,2,36.7569994,-85.3419069
201,2,28.039465399999997,-73.92346189999998
202,2,38.0684692,-83.096868
203,2,32.7562463,-87.172789
204,2,47.750839,-94.12655620000001
205,2,34.6035669,-97.47809540000002
206,2,32.9815431,-73.13496099999998
207,2,33.853626899999995,-74.4229266
208,2,45.815010799999996,-62.2663478
209,2,39.5150576,-73.64124059999999
210,2,40.8125881,-81.58590989999998
211,2,26.122438600000002,-77.53580490000002
212,2,42.2808256,-81.3278455
213,2,55.755826,-82.32482619999998
214,2,26.775340500000002,19.756191100000002
215,2,41.63920239999999,-122.8755949
216,2,36.9741171,-49.3044253
217,2,29.6993748,-93.2282613
218,2,38.624514000000005,-93.0899578
219,2,30.396031800000003,-85.14830400000001
220,2,42.2222614,-73.833079
221,2,42.5467012,-86.4605337
222,2,41.6253116,-81.7328567
223,2,36.8507689,-98.3959291
224,2,30.632414899999997,-80.13731740000001
225,2,40.767323,37.6172999
226,2,40.1736547,-83.39659940000001
227,2,25.7491968,-83.7430378
228,2,39.9242266,-89.2167501
229,2,-36.8484597,-88.9548001
230,2,37.0430812,-108.50069040000001
231,2,35.6528323,-89.29033919999998
232,2,6.801279300000001,2.6501603
233,2,47.9252568,-84.09687609999999
234,2,33.7906551,-89.0078418
235,2,42.03078120000001,-87.4547635
236,2,-4.4419311,-84.3265854
237,2,40.5067723,-81.6187178
238,2,6.5243793,-79.03773879999999
239,2,4.92242,-77.0230313
240,2,39.84031470000001,-46.63330939999999
241,2,38.2097987,-103.13604029999999
242,2,40.201024100000005,21.7678951
243,2,40.7439905,116.4073963
244,2,37.58316980000001,-79.6441198
245,2,40.9312099,-92.0198427
246,2,42.473368799999996,18.6734687
247,2,42.31519779999999,-118.13395630000001
248,2,40.2005472,30.360909600000003
249,2,34.274583299999996,-75.9268747
250,2,35.7344538,-118.29224609999999
251,2,37.7272727,-90.1506465
252,2,42.4055925,-101.85516650000001
253,2,39.90419989999999,-79.89986080000001
254,2,41.223,-81.3444573
255,2,41.6819935,-84.39827629999998
256,2,36.0956918,-86.7227195
257,2,35.96063839999999,-74.20375659999998
258,2,39.0839973,-66.90360629999999
259,2,43.0369422,-82.9000751
260,2,31.243787199999996,-118.30896240000001
261,2,33.1054039,-97.1330683
262,2,40.65871380000001,174.7633315
263,2,37.9100783,-122.06518190000001
264,2,39.165325,-111.9738304
265,2,27.9658533,-74.2654234
266,2,33.6845673,-91.720681
267,2,7.7091884,-83.8088171
268,2,33.0369867,-89.3985283
269,2,-23.550519899999998,15.266293099999999
270,2,42.12922409999999,-118.3812562
271,2,41.6611277,15.981918900000002
272,2,38.84622359999999,-117.2919818
273,2,41.1200325,-83.2218731
274,2,41.237556899999994,18.4130763
275,2,28.677775,-96.4688727
276,2,40.789142,-78.9219698
277,2,43.856258600000004,3.3792057
278,2,32.163207899999996,-87.03968809999998
279,2,51.7592485,-85.6802541
280,2,33.8937913,-73.3998445
281,2,43.58904520000001,-90.6234323
282,2,33.2148412,-74.4815438
283,2,39.3642834,-77.30637329999998
284,2,38.7044609,-93.6319131
285,2,37.7800591,-79.43779909999998
286,2,33.930293,-87.71754909999999
287,2,41.7605849,-58.1551255
288,2,40.764357399999994,-90.392888
289,2,34.9809995,-81.3792365
290,2,39.5696005,-118.21146029999998
291,2,25.044331200000002,-122.0307963
292,2,35.896823600000005,-80.81841659999998
293,2,32.1095975,8.6724335
294,2,40.92639570000001,-64.83479919999999
295,2,32.8881879,-105.2705456
296,2,34.187044,-88.32007150000003
297,2,40.68148920000001,21.012228699999998
298,2,28.5383355,-82.810138
299,2,32.0954304,-91.20677
300,2,32.6154278,-90.8781567
301,2,36.3274502,-84.25298690000001
302,2,33.8883487,-88.5608767
303,2,30.2240897,-82.8001026
304,2,26.0112014,-95.3010624
305,2,32.702611600000004,-80.1494901
306,2,39.5557317,-77.20027449999998
307,2,38.7073379,-98.34201180000001
308,2,34.28049229999999,-88.9031201
309,2,17.7245968,-91.1867771
310,2,38.1448015,-76.28587259999998
311,2,27.9014133,-91.5301683
312,2,31.327118900000002,-91.8723497
313,2,36.60568860000001,-77.35036090000001
314,2,33.4918203,-119.2945199
315,2,33.5778631,-121.29077959999998
316,2,27.8964147,-88.88530779999998
317,2,37.9577016,-73.94647690000001
318,2,36.585971799999996,-74.03141649999998
319,2,39.480605499999996,-80.2635411
320,2,41.611143,-87.8611531
321,2,40.805378000000005,-79.71643259999998
322,2,40.811550399999994,-90.4056468
323,2,38.65921520000001,-97.0328547
324,2,42.3265152,-73.89874689999998
325,2,38.7651145,-89.98399350000001
326,2,37.3433974,-74.20486770000001
327,2,9.359302,-79.39502279999998
328,2,32.8551326,-120.48296770000002
329,2,43.0962143,-83.76408470000001
330,2,41.2331116,-74.0323626
331,2,44.53746109999999,-87.8567276
332,2,32.1656221,-80.4934035
333,2,44.953702899999996,-79.2241997
334,2,40.796766700000006,-52.313453100000004
335,2,45.783285600000006,-77.1527578
336,2,48.1351253,-83.9207392
337,2,34.362314899999994,-71.0913748
338,2,40.49393370000001,-81.38038039999998
339,2,44.7677424,-71.1211635
340,2,36.9486986,-117.82650490000002
341,2,30.080174,-93.2868354
342,2,39.900076,35.50177670000001
343,2,41.900586499999996,-76.1416033
344,2,40.767498700000004,-91.15649609999998
345,2,34.494268299999995,-78.8894682
346,2,37.3021632,-81.8431374
347,2,52.2296756,-85.9766671
348,2,38.520050399999995,-87.83640199999998
349,2,41.885031700000006,-87.7845025
350,2,32.4084765,7.335888000000001
351,2,40.0149856,-83.29104679999998
352,2,33.7360619,-93.2777226
353,2,43.72384829999999,19.4559833
354,2,-38.7183177,20.687254199999998
355,2,30.64851909999999,-100.920999
356,2,32.517636100000004,11.581980499999998
357,2,32.3546679,-81.9498042
358,2,38.317271399999996,-80.05809690000001
359,2,29.6516344,-83.21131919999998
360,2,32.351260100000005,-86.52638569999998
361,2,59.931058400000005,-92.8129462
362,2,44.76305670000001,-119.64568440000001
363,2,40.1053196,-76.8983059
364,2,42.6389216,27.983473800000002
365,2,28.0222435,-86.0549863
366,2,32.9065168,-80.085059
367,2,42.33176419999999,-85.4941396
368,2,-25.480876199999997,-118.29650840000001
369,2,40.32674069999999,-85.62063169999998
370,1,28.291563699999998,-73.41150909999999
371,1,57.509840000000004,4.4777325999999995
372,1,35.2990556,21.010806
373,1,35.1569986,-112.45061909999998
374,1,52.07049779999999,-121.9999606
375,1,33.4956744,8.441217199999999
376,1,40.7263249,-97.7509366
377,1,42.4304196,-84.5393664
378,1,35.2326725,-112.02654620000001
379,1,34.0739016,-98.49338730000001
380,1,33.521501300000004,-91.1984601
381,1,35.6818059,17.2546844
382,1,39.3111112,-93.2890527
383,1,39.18360819999999,-80.2528257
384,1,37.235807799999996,-87.8819594
385,1,40.7580684,-84.68383440000001
386,1,40.4417355,-77.7952712
387,1,36.0597177,-74.58529200000001
388,1,34.778729999999996,-81.18815570000001
389,1,41.562320899999996,4.300699900000001
390,1,35.2827524,-90.7531682
391,1,-31.8722985,-106.9561791
392,1,36.581708899999995,22.273801100000004
393,1,30.6338092,-73.5929056
394,1,37.6687665,3.2874
395,1,42.87665200000001,15.242885300000001
396,1,43.891414399999995,-94.65548740000001
397,1,45.3815612,-83.7315723
398,1,45.774970399999994,-75.37045789999998
399,1,33.7440023,13.8495788
400,1,40.688432,-111.8879909
401,1,33.689060299999994,-74.40737359999999
402,1,54.5553929,-105.96026499999999
403,1,37.8215929,-82.59932940000002
404,1,40.2086471,-81.556235
405,1,37.27528,-117.3136547
406,1,42.8500769,-83.0496438
407,1,43.4516395,17.674474800000002
408,1,39.4699075,-87.67448909999999
409,1,36.304773499999996,25.426361800000002
410,1,40.6872885,151.2092955
411,1,41.2804112,-80.3100627
412,1,41.558152500000006,-90.5709323
413,1,27.767600800000004,-89.9248303
414,1,42.7762015,-121.08493689999999
415,1,33.542718900000004,-43.191636100000004
416,1,32.735687,-97.396381
417,1,41.3046016,-84.8491126
418,1,42.374776000000004,-90.1342608
419,1,28.3861159,-84.6151965
420,1,35.6178951,-71.5375718
421,1,23.1135925,-92.1101458
422,1,40.7250986,-64.8940946
423,1,43.5391527,-82.9040517
424,1,32.7918133,-89.3648183
425,1,36.6859829,-68.9658817
426,1,39.95675479999999,-88.99922670000002
427,1,48.11995049999999,-94.5746473
428,1,34.2978794,5.4697225
429,1,43.084702,-89.0928155
430,1,33.984523200000005,-92.55404870000001
431,1,38.3226153,-121.7568946
432,1,22.765392000000002,-80.2083806
433,1,40.19475389999999,-112.8544377
434,1,34.2001086,7.0498442
435,1,5.7647948,-90.6273444
436,1,31.3183272,-81.68535340000001
437,1,40.473060499999995,-4.440113999999999
438,1,33.659825700000006,-75.0246312
439,1,49.79130439999999,-123.08675359999998
440,1,33.8984461,-93.4332189
441,1,39.928934999999996,-83.8240663
442,1,33.993067700000005,-79.0514134
443,1,41.261748100000005,20.3685737
444,1,4.815554,-96.4049408
445,1,43.860288700000005,-81.33923519999998
446,1,30.42007079999999,-73.7845768
447,1,30.5254692,6.8419191999999995
448,1,39.944784000000006,7.1507635999999986
449,1,37.6439071,-89.0892348
450,1,45.773295000000005,-80.84451519999998
451,1,41.8814197,-76.78854299999998
452,1,44.986629799999996,-113.30028440000001
453,1,50.90970040000001,-73.78235490000002
454,1,45.6728599,-72.20676809999998
455,1,47.5052849,-76.86273670000001
456,1,40.3697905,1.0999709999999998
457,1,30.367419800000004,112.964446
458,1,43.049457200000006,-80.58951669999998
459,1,39.2806451,-75.9010304
460,1,53.34980529999999,-93.7941378
461,1,35.0081476,18.262524300000003
462,1,34.0633443,-88.0555849
463,1,41.4300937,-80.6698286
464,1,32.822087599999996,-72.589811
465,1,41.5200518,-98.413128
466,1,41.2758617,-74.97223220000001
467,1,46.50881270000001,-91.887271
468,1,40.063961600000006,45.043036900000004
469,1,32.6776372,-79.0278156
470,1,42.4963416,-117.71977849999999
471,1,34.7590477,-118.61481
472,1,38.8851122,-79.8683824
473,1,42.09118529999999,-73.93956870000001
474,1,33.3439995,-82.5823931
475,1,36.5072263,18.068580800000003
476,1,40.75704289999999,120.3014353
477,1,39.641762899999996,34.887762
478,1,-25.523262699999997,-120.4579409
479,1,35.4436739,-0.8797870000000001
480,1,34.769535999999995,12.4963655
481,1,47.9789848,-77.0080309
482,1,14.588935099999999,-122.2079218
483,1,40.875890999999996,-87.40613420000001
484,1,41.522561200000005,-93.7321228
485,1,52.1332144,-82.64029149999998
486,1,32.4582065,18.0602921
487,1,44.8277446,-76.5643719
488,1,45.780795899999994,-93.5716243
489,1,34.700922999999996,-115.55599879999998
490,1,45.5060682,-83.46435509999998
491,1,48.8030833,-88.0075875
492,1,27.4989278,18.5314753
493,1,37.087082099999996,-86.93528420000001
494,1,34.924031400000004,16.155863500000002
495,1,38.9822282,-82.310119
496,1,56.94964870000001,-104.7107931
497,1,41.3556539,-73.2453946
498,1,22.627278399999998,-16.4464766
499,1,48.23296679999999,15.7811994
500,1,-22.8272883,-81.245657
501,1,8.953641900000001,-111.30077150000001
502,1,37.1923249,-105.4823091
503,1,39.42782529999999,-78.22719570000001
504,1,26.7153424,-73.5876273
505,1,55.847258,11.727274699999999
506,1,36.910231,-84.8902382
507,1,33.881681799999996,-21.9426354
508,1,35.7111846,-106.32517490000001
509,1,44.8666232,19.646366600000004
510,1,52.268873600000006,-76.8966397
511,1,40.859863700000005,-85.16467259999999
512,1,35.8800364,-97.1300061
513,1,32.2662515,-89.1306124
514,1,37.8397626,-82.72904709999999
515,1,40.338254299999996,21.425435500000003
516,1,36.2806939,-121.2747843
517,1,42.4572478,18.3502638
518,1,39.9537358,-94.6830357
519,1,43.5473028,-77.9927651
520,1,42.3928151,-0.798802
521,1,35.1484169,73.3645204
522,1,35.5939671,-73.87263500000002
523,1,38.0951317,-117.9897058
524,1,15.3091676,-87.0611412
525,1,42.65066059999999,-122.91582930000001
526,1,33.065675,15.076816199999998
527,1,40.347067100000004,-83.0302033
528,1,43.3095164,-83.1446485
529,1,43.8137751,12.661452
530,1,43.358237100000004,-77.71999319999998
531,1,-27.469770699999998,-43.0637646
532,1,45.696625700000006,-85.0007653
533,1,34.257038,-91.0278863
534,1,35.9828412,-117.9298493
535,1,34.6883948,-61.323937199999996
536,1,34.7319656,-94.8075152
537,1,41.3513207,-96.8483311
538,1,41.2900939,-86.97167409999999
539,1,48.208174299999996,6.4961300999999985
540,1,42.035408399999994,4.835659
541,1,33.2098407,-74.1979458
542,1,36.6240297,-85.44966269999998
543,1,34.5794343,25.4988388
544,1,49.9806625,-81.61785359999998
545,1,31.667187199999997,-90.6654675
546,1,42.4894801,-85.2504893
547,1,49.847066,-73.6187397
548,1,42.1014831,-117.89033970000001
549,1,36.3294305,-71.1631137
550,1,7.3775355,-75.48633640000001
551,1,15.3763381,-91.2512373
552,1,44.7971939,-77.5894199
553,1,34.09751,-80.0533746
554,1,26.6845104,53.232428399999996
555,1,-11.6876026,-79.51986959999998
556,1,38.96851119999999,28.099100099999998
557,1,37.24954,11.5020752
558,1,38.303183700000005,-86.954437
559,1,46.4628333,-84.9702228
560,1,30.236829200000003,-89.67950839999997
561,1,22.424398,-88.0817251
562,1,36.20772879999999,-96.17831109999999
563,1,40.3886847,-75.4714098
564,1,34.4047987,-89.9189753
565,1,37.00532929999999,-75.6496302
566,1,29.370885700000002,-80.06561059999999
567,1,41.7244885,-91.314535
568,1,45.674687299999995,-80.6495194
569,1,33.20763,-88.0132958
570,1,43.7730448,-122.6269768
571,1,50.4789869,-93.5985615
572,1,37.50593320000001,-73.9204158
573,1,42.245869,-86.6750059
574,1,41.8616956,-111.83147240000001
575,1,30.5182727,-73.8801301
576,1,37.7257663,35.046183
577,1,41.801200099999996,-91.2519017
578,1,49.8209226,-103.8918599
579,1,40.222548100000004,-71.10973349999998
580,1,39.3398382,-89.35007139999998
581,1,30.158812899999997,-91.738225
582,1,40.587537100000006,-47.8909263
583,1,45.775490999999995,7.017369
584,1,51.546175399999996,-78.3541685
585,1,37.881722700000005,-88.462609
586,1,46.996514399999995,138.567
587,1,33.6594835,-95.7083131
588,1,47.67346320000001,-90.0539603
589,1,34.14426160000001,-123.40876920000001
590,1,46.78667189999999,-84.91910809999999
591,1,40.4034024,-99.0603546
592,1,34.3387802,12.568337199999998
593,1,27.446705600000005,-79.05584449999999
594,1,-35.27977449999999,-95.6002856
595,1,48.973526,-85.0766113
596,1,49.44323199999999,-96.0583523
597,1,31.553780699999997,-92.7159853
598,1,42.6827885,-101.2922906
599,1,29.9743803,-91.5682015
600,1,36.330228399999996,-85.7053085
601,1,37.1092162,-90.5151342
602,1,38.7881062,-88.1761521
603,1,51.209348,10.7522454
604,1,38.2989422,-73.9196324
605,1,43.112742700000005,39.2083284
606,1,33.8137161,-80.6303822
607,1,45.6956723,-101.3376574
608,1,32.4073589,-121.8946761
609,1,37.28668629999999,-82.44515400000002
610,1,40.7684342,9.7678687
611,1,34.6867846,-76.09161700000001
612,1,39.158167999999996,-81.1487135
613,1,43.6365693,19.1151469
614,1,37.150101899999996,-97.1383744
615,1,34.5034394,-84.26964490000002
616,1,39.99959129999999,-82.6829406
617,1,57.3937216,-75.8968635
618,1,41.6612104,-82.8123646
619,1,37.764495200000006,-88.7281
620,1,41.368091899999996,-76.7007912
621,1,31.283786699999997,-92.6493595
622,1,35.56780379999999,126.9779692
623,1,33.6795531,-74.42293409999998
624,1,39.4961458,126.534967
625,1,42.2411499,-87.98062650000001
626,1,42.2942045,-90.1659431
627,1,41.525031,-83.61299389999998
628,1,48.119135299999996,-75.5243682
629,1,16.277237099999997,-91.4259495
630,1,35.4895085,8.6821267
631,1,34.2722582,23.3626146
632,1,4.0510564,-117.0841955
633,1,37.4019918,-79.86643749999998
634,1,40.9106541,-83.01465259999998
635,1,42.9133602,-73.76290970000001
636,1,-34.901112700000006,-86.51860450000001
637,1,38.027976200000005,27.144118300000002
638,1,40.21367539999999,-91.1884837
639,1,31.3112936,-86.0677243
640,1,43.2081366,-73.87147519999998
641,1,42.5803122,-78.55694489999998
642,1,45.056003999999994,10.5267696
643,1,32.3865312,-72.995048
644,1,42.63839249999999,-95.75584640000001
645,1,39.997876399999996,-90.1570536
646,1,35.4492404,-121.69136200000001
647,1,33.1204062,-90.72457220000001
648,1,41.491423600000005,-80.34453409999998
649,1,43.389357399999994,-86.7888887
650,1,34.3192636,-71.5215024
651,1,34.4434282,-74.3000878
652,1,41.805031400000004,-111.9400054
653,1,32.7896202,-90.877882
654,1,36.082156,-82.7101823
655,1,41.2321705,4.7607971
656,1,31.1636412,-82.23844790000001
