,Year,Team Name,Team Abbreviation,Games Played,Points,Blocks,Field Goal Percent,Rank
0,1982,Denver Nuggets,DEN,82,10371,368,0.52,1
1,1982,Los Angeles Lakers,LAL,82,9400,517,0.517,2
2,1982,San Antonio Spurs,SAS,82,9272,555,0.486,3
3,1982,Boston Celtics,BOS,82,9180,568,0.499,4
4,1982,Philadelphia 76ers,PHI,82,9119,622,0.518,5
5,1982,Detroit Pistons,DET,82,9112,564,0.482,6
6,1982,Utah Jazz,UTA,82,9094,357,0.494,7
7,1982,Golden State Warriors,GSW,82,9092,391,0.496,8
8,1982,Portland Trail Blazers,POR,82,9006,367,0.505,9
9,1982,San Diego Clippers,SDC,82,8896,299,0.5,10
10,1982,Milwaukee Bucks,MIL,82,8890,455,0.505,11
11,1982,Seattle SuperSonics,SEA,82,8795,460,0.488,12
12,1982,Kansas City Kings,KCK,82,8785,402,0.495,13
13,1982,New Jersey Nets,NJN,82,8746,481,0.484,14
14,1982,Chicago Bulls,CHI,82,8743,483,0.501,15
15,1982,New York Knicks,NYK,82,8707,338,0.491,16
16,1982,Phoenix Suns,PHO,82,8705,429,0.491,17
17,1982,Houston Rockets,HOU,82,8680,429,0.476,18
18,1982,Dallas Mavericks,DAL,82,8575,313,0.469,19
19,1982,Washington Bullets,WSB,82,8485,397,0.474,20
20,1982,Cleveland Cavaliers,CLE,82,8463,357,0.464,21
21,1982,Indiana Pacers,IND,82,8379,494,0.465,22
22,1982,Atlanta Hawks,ATL,82,8281,485,0.474,23
23,1983,Denver Nuggets,DEN,82,10105,352,0.494,1
24,1983,Los Angeles Lakers,LAL,82,9433,479,0.528,2
25,1983,San Antonio Spurs,SAS,82,9375,469,0.504,3
26,1983,Kansas City Kings,KCK,82,9328,409,0.497,4
27,1983,Dallas Mavericks,DAL,82,9243,348,0.487,5
28,1983,Detroit Pistons,DET,82,9239,572,0.477,6
29,1983,Boston Celtics,BOS,82,9191,521,0.492,7
30,1983,Philadelphia 76ers,PHI,82,9191,577,0.499,8
31,1983,Chicago Bulls,CHI,82,9102,400,0.48,9
32,1983,Seattle SuperSonics,SEA,82,9019,437,0.494,10
33,1983,Utah Jazz,UTA,82,8938,595,0.48,11
34,1983,Indiana Pacers,IND,82,8911,411,0.48,12
35,1983,Golden State Warriors,GSW,82,8908,430,0.483,13
36,1983,San Diego Clippers,SDC,82,8903,408,0.475,14
37,1983,Portland Trail Blazers,POR,82,8808,384,0.486,15
38,1983,Phoenix Suns,PHO,82,8776,495,0.497,16
39,1983,Milwaukee Bucks,MIL,82,8740,532,0.489,17
40,1983,New Jersey Nets,NJN,82,8672,592,0.492,18
41,1983,Atlanta Hawks,ATL,82,8335,665,0.469,19
42,1983,New York Knicks,NYK,82,8198,378,0.482,20
43,1983,Houston Rockets,HOU,82,8145,422,0.448,21
44,1983,Washington Bullets,WSB,82,8134,400,0.468,22
45,1983,Cleveland Cavaliers,CLE,82,7964,290,0.465,23
46,1984,Denver Nuggets,DEN,82,10147,352,0.493,1
47,1984,San Antonio Spurs,SAS,82,9862,491,0.506,2
48,1984,Detroit Pistons,DET,82,9602,417,0.48,3
49,1984,Los Angeles Lakers,LAL,82,9478,478,0.532,4
50,1984,Utah Jazz,UTA,82,9428,604,0.498,5
51,1984,Portland Trail Blazers,POR,82,9277,397,0.505,6
52,1984,Boston Celtics,BOS,82,9194,430,0.5,7
53,1984,Phoenix Suns,PHO,82,9101,388,0.509,8
54,1984,San Diego Clippers,SDC,82,9077,385,0.496,9
55,1984,Houston Rockets,HOU,82,9071,515,0.495,10
56,1984,Dallas Mavericks,DAL,82,9052,360,0.5,11
57,1984,Kansas City Kings,KCK,82,9023,383,0.486,12
58,1984,New Jersey Nets,NJN,82,9019,499,0.498,13
59,1984,Golden State Warriors,GSW,82,9008,348,0.467,14
60,1984,Seattle SuperSonics,SEA,82,8865,350,0.488,15
61,1984,Philadelphia 76ers,PHI,82,8838,653,0.495,16
62,1984,New York Knicks,NYK,82,8763,360,0.495,17
63,1984,Milwaukee Bucks,MIL,82,8666,489,0.492,18
64,1984,Indiana Pacers,IND,82,8566,398,0.483,19
65,1984,Chicago Bulls,CHI,82,8501,454,0.474,20
66,1984,Washington Bullets,WSB,82,8423,320,0.484,21
67,1984,Cleveland Cavaliers,CLE,82,8386,375,0.465,22
68,1984,Atlanta Hawks,ATL,82,8321,558,0.474,23
69,1985,Denver Nuggets,DEN,82,9841,424,0.486,1
70,1985,Los Angeles Lakers,LAL,82,9696,481,0.545,2
71,1985,Detroit Pistons,DET,82,9508,397,0.48,3
72,1985,Portland Trail Blazers,POR,82,9469,516,0.503,4
73,1985,Kansas City Kings,KCK,82,9413,300,0.504,5
74,1985,Boston Celtics,BOS,82,9412,414,0.508,6
75,1985,San Antonio Spurs,SAS,82,9412,443,0.513,7
76,1985,Philadelphia 76ers,PHI,82,9261,534,0.492,8
77,1985,Houston Rockets,HOU,82,9118,597,0.504,9
78,1985,Dallas Mavericks,DAL,82,9116,335,0.489,10
79,1985,Milwaukee Bucks,MIL,82,9090,486,0.491,11
80,1985,Golden State Warriors,GSW,82,9052,284,0.463,12
81,1985,New Jersey Nets,NJN,82,8975,415,0.49,13
82,1985,Utah Jazz,UTA,82,8937,697,0.476,14
83,1985,Chicago Bulls,CHI,82,8916,468,0.5,15
84,1985,Cleveland Cavaliers,CLE,82,8903,472,0.471,16
85,1985,Indiana Pacers,IND,82,8879,366,0.476,17
86,1985,Phoenix Suns,PHO,82,8858,349,0.491,18
87,1985,Los Angeles Clippers,LAC,82,8784,497,0.495,19
88,1985,Atlanta Hawks,ATL,82,8743,541,0.484,20
89,1985,Washington Bullets,WSB,82,8655,393,0.479,21
90,1985,New York Knicks,NYK,82,8627,267,0.484,22
91,1985,Seattle SuperSonics,SEA,82,8376,343,0.474,23
92,1986,Los Angeles Lakers,LAL,82,9618,419,0.522,1
93,1986,Dallas Mavericks,DAL,82,9453,369,0.501,2
94,1986,Portland Trail Blazers,POR,82,9436,356,0.496,3
95,1986,Denver Nuggets,DEN,82,9410,421,0.471,4
96,1986,Milwaukee Bucks,MIL,82,9390,460,0.493,5
97,1986,Houston Rockets,HOU,82,9379,551,0.49,6
98,1986,Detroit Pistons,DET,82,9363,340,0.484,7
99,1986,Boston Celtics,BOS,82,9359,511,0.508,8
100,1986,Golden State Warriors,GSW,82,9299,354,0.482,9
101,1986,San Antonio Spurs,SAS,82,9120,390,0.506,10
102,1986,Philadelphia 76ers,PHI,82,9051,490,0.487,11
103,1986,Phoenix Suns,PHO,82,9023,379,0.503,12
104,1986,Chicago Bulls,CHI,82,8962,400,0.481,13
105,1986,New Jersey Nets,NJN,82,8949,345,0.486,14
106,1986,Sacramento Kings,SAC,82,8924,388,0.49,15
107,1986,Los Angeles Clippers,LAC,82,8907,501,0.473,16
108,1986,Atlanta Hawks,ATL,82,8906,434,0.49,17
109,1986,Utah Jazz,UTA,82,8871,666,0.488,18
110,1986,Cleveland Cavaliers,CLE,82,8836,436,0.48,19
111,1986,Seattle SuperSonics,SEA,82,8564,295,0.472,20
112,1986,Indiana Pacers,IND,82,8519,381,0.481,21
113,1986,Washington Bullets,WSB,82,8442,716,0.463,22
114,1986,New York Knicks,NYK,82,8094,308,0.46,23
115,1987,Portland Trail Blazers,POR,82,9667,387,0.504,1
116,1987,Los Angeles Lakers,LAL,82,9656,482,0.516,2
117,1987,Denver Nuggets,DEN,82,9569,421,0.471,3
118,1987,Dallas Mavericks,DAL,82,9567,424,0.487,4
119,1987,Seattle SuperSonics,SEA,82,9325,450,0.482,5
120,1987,Boston Celtics,BOS,82,9237,526,0.517,6
121,1987,Golden State Warriors,GSW,82,9188,321,0.479,7
122,1987,Detroit Pistons,DET,82,9118,436,0.49,8
123,1987,Phoenix Suns,PHO,82,9111,397,0.497,9
124,1987,Sacramento Kings,SAC,82,9095,397,0.475,10
125,1987,Milwaukee Bucks,MIL,82,9052,393,0.475,11
126,1987,Atlanta Hawks,ATL,82,9024,511,0.481,12
127,1987,New Jersey Nets,NJN,82,8893,397,0.476,13
128,1987,San Antonio Spurs,SAS,82,8882,325,0.474,14
129,1987,Utah Jazz,UTA,82,8844,628,0.464,15
130,1987,Houston Rockets,HOU,82,8765,555,0.477,16
131,1987,Philadelphia 76ers,PHI,82,8729,540,0.491,17
132,1987,Indiana Pacers,IND,82,8698,311,0.472,18
133,1987,Washington Bullets,WSB,82,8690,685,0.454,19
134,1987,Chicago Bulls,CHI,82,8596,438,0.473,20
135,1987,Los Angeles Clippers,LAC,82,8566,432,0.452,21
136,1987,Cleveland Cavaliers,CLE,82,8558,559,0.47,22
137,1987,New York Knicks,NYK,82,8508,396,0.474,23
138,1988,Denver Nuggets,DEN,82,9573,401,0.474,1
139,1988,Portland Trail Blazers,POR,82,9518,347,0.491,2
140,1988,Boston Celtics,BOS,82,9315,415,0.521,3
141,1988,San Antonio Spurs,SAS,82,9314,468,0.49,4
142,1988,Los Angeles Lakers,LAL,82,9250,404,0.505,5
143,1988,Seattle SuperSonics,SEA,82,9135,447,0.476,6
144,1988,Dallas Mavericks,DAL,82,8960,446,0.475,7
145,1988,Detroit Pistons,DET,82,8957,394,0.493,8
146,1988,Houston Rockets,HOU,82,8935,502,0.471,9
147,1988,Phoenix Suns,PHO,82,8901,353,0.486,10
148,1988,Utah Jazz,UTA,82,8899,627,0.491,11
149,1988,Sacramento Kings,SAC,82,8855,493,0.471,12
150,1988,Atlanta Hawks,ATL,82,8844,537,0.485,13
151,1988,Golden State Warriors,GSW,82,8771,283,0.468,14
152,1988,Milwaukee Bucks,MIL,82,8697,380,0.475,15
153,1988,Philadelphia 76ers,PHI,82,8667,465,0.474,16
154,1988,New York Knicks,NYK,82,8655,445,0.465,17
155,1988,Washington Bullets,WSB,82,8653,502,0.468,18
156,1988,Chicago Bulls,CHI,82,8609,475,0.49,19
157,1988,Indiana Pacers,IND,82,8581,345,0.48,20
158,1988,Cleveland Cavaliers,CLE,82,8566,526,0.49,21
159,1988,New Jersey Nets,NJN,82,8235,385,0.468,22
160,1988,Los Angeles Clippers,LAC,82,8103,520,0.443,23
161,1989,Phoenix Suns,PHO,82,9727,416,0.498,1
162,1989,Denver Nuggets,DEN,82,9675,436,0.468,2
163,1989,New York Knicks,NYK,82,9567,446,0.486,3
164,1989,Golden State Warriors,GSW,82,9558,643,0.468,4
165,1989,Los Angeles Lakers,LAL,82,9406,421,0.502,5
166,1989,Portland Trail Blazers,POR,82,9395,388,0.474,6
167,1989,Seattle SuperSonics,SEA,82,9196,494,0.477,7
168,1989,Philadelphia 76ers,PHI,82,9174,354,0.486,8
169,1989,Atlanta Hawks,ATL,82,9102,474,0.472,9
170,1989,Boston Celtics,BOS,82,8958,418,0.493,10
171,1989,Milwaukee Bucks,MIL,82,8932,323,0.474,11
172,1989,Cleveland Cavaliers,CLE,82,8923,586,0.502,12
173,1989,Houston Rockets,HOU,82,8897,501,0.474,13
174,1989,Washington Bullets,WSB,82,8879,325,0.464,14
175,1989,Indiana Pacers,IND,82,8767,418,0.487,15
176,1989,Detroit Pistons,DET,82,8740,406,0.494,16
177,1989,Chicago Bulls,CHI,82,8726,376,0.495,17
178,1989,Los Angeles Clippers,LAC,82,8712,530,0.475,18
179,1989,San Antonio Spurs,SAS,82,8652,423,0.468,19
180,1989,Sacramento Kings,SAC,82,8651,409,0.457,20
181,1989,Utah Jazz,UTA,82,8588,583,0.482,21
182,1989,Charlotte Hornets,CHH,82,8566,264,0.461,22
183,1989,New Jersey Nets,NJN,82,8506,431,0.461,23
184,1989,Dallas Mavericks,DAL,82,8484,476,0.469,24
185,1989,Miami Heat,MIA,82,8016,408,0.453,25
186,1990,Golden State Warriors,GSW,82,9534,488,0.484,1
187,1990,Phoenix Suns,PHO,82,9423,501,0.496,2
188,1990,Denver Nuggets,DEN,82,9397,329,0.464,3
189,1990,Portland Trail Blazers,POR,82,9365,364,0.473,4
190,1990,Orlando Magic,ORL,82,9090,294,0.459,5
191,1990,Los Angeles Lakers,LAL,82,9079,445,0.49,6
192,1990,Philadelphia 76ers,PHI,82,9039,365,0.489,7
193,1990,Boston Celtics,BOS,82,9023,455,0.498,8
194,1990,Chicago Bulls,CHI,82,8977,388,0.498,9
195,1990,Indiana Pacers,IND,82,8962,350,0.497,10
196,1990,Atlanta Hawks,ATL,82,8901,353,0.487,11
197,1990,New York Knicks,NYK,82,8879,492,0.484,12
198,1990,Washington Bullets,WSB,82,8832,424,0.475,13
199,1990,Seattle SuperSonics,SEA,82,8769,335,0.479,14
200,1990,Utah Jazz,UTA,82,8760,491,0.505,15
201,1990,Houston Rockets,HOU,82,8752,551,0.48,16
202,1990,San Antonio Spurs,SAS,82,8718,554,0.484,17
203,1990,Milwaukee Bucks,MIL,82,8691,326,0.473,18
204,1990,Detroit Pistons,DET,82,8556,418,0.478,19
205,1990,Los Angeles Clippers,LAC,82,8509,507,0.484,20
206,1990,Cleveland Cavaliers,CLE,82,8411,512,0.461,21
207,1990,Dallas Mavericks,DAL,82,8384,398,0.475,22
208,1990,Sacramento Kings,SAC,82,8341,392,0.468,23
209,1990,Miami Heat,MIA,82,8247,388,0.461,24
210,1990,Charlotte Hornets,CHH,82,8232,262,0.455,25
211,1990,New Jersey Nets,NJN,82,8208,481,0.426,26
212,1990,Minnesota Timberwolves,MIN,82,7803,344,0.446,27
213,1991,Denver Nuggets,DEN,82,9828,406,0.44,1
214,1991,Golden State Warriors,GSW,82,9564,378,0.485,2
215,1991,Portland Trail Blazers,POR,82,9407,410,0.485,3
216,1991,Phoenix Suns,PHO,82,9348,535,0.496,4
217,1991,Indiana Pacers,IND,82,9159,357,0.493,5
218,1991,Boston Celtics,BOS,82,9145,565,0.512,6
219,1991,Chicago Bulls,CHI,82,9024,438,0.51,7
220,1991,Atlanta Hawks,ATL,82,9003,374,0.464,8
221,1991,San Antonio Spurs,SAS,82,8782,571,0.488,9
222,1991,Houston Rockets,HOU,82,8753,409,0.467,10
223,1991,Seattle SuperSonics,SEA,82,8744,380,0.492,11
224,1991,Milwaukee Bucks,MIL,82,8727,330,0.48,12
225,1991,Los Angeles Lakers,LAL,82,8717,384,0.484,13
226,1991,Orlando Magic,ORL,82,8684,306,0.455,14
227,1991,Philadelphia 76ers,PHI,82,8641,479,0.475,15
228,1991,Utah Jazz,UTA,82,8527,451,0.492,16
229,1991,Los Angeles Clippers,LAC,82,8491,507,0.464,17
230,1991,New York Knicks,NYK,82,8455,418,0.485,18
231,1991,New Jersey Nets,NJN,82,8441,600,0.444,19
232,1991,Charlotte Hornets,CHH,82,8428,304,0.467,20
233,1991,Miami Heat,MIA,82,8349,387,0.459,21
234,1991,Cleveland Cavaliers,CLE,82,8343,450,0.475,22
235,1991,Washington Bullets,WSB,82,8313,468,0.466,23
236,1991,Detroit Pistons,DET,82,8205,367,0.465,24
237,1991,Dallas Mavericks,DAL,82,8195,397,0.471,25
238,1991,Minnesota Timberwolves,MIN,82,8169,440,0.449,26
239,1991,Sacramento Kings,SAC,82,7928,513,0.453,27
240,1992,Golden State Warriors,GSW,82,9732,375,0.507,1
241,1992,Indiana Pacers,IND,82,9197,393,0.494,2
242,1992,Phoenix Suns,PHO,82,9194,582,0.492,3
243,1992,Portland Trail Blazers,POR,82,9135,410,0.473,4
244,1992,Chicago Bulls,CHI,82,9011,480,0.508,5
245,1992,Charlotte Hornets,CHH,82,8980,309,0.477,6
246,1992,Cleveland Cavaliers,CLE,82,8926,621,0.488,7
247,1992,Utah Jazz,UTA,82,8877,448,0.492,8
248,1992,Boston Celtics,BOS,82,8745,484,0.492,9
249,1992,Seattle SuperSonics,SEA,82,8737,448,0.474,10
250,1992,Atlanta Hawks,ATL,82,8711,320,0.467,11
251,1992,New Jersey Nets,NJN,82,8641,615,0.458,12
252,1992,Milwaukee Bucks,MIL,82,8609,317,0.46,13
253,1992,Miami Heat,MIA,82,8608,373,0.461,14
254,1992,Sacramento Kings,SAC,82,8549,618,0.466,15
255,1992,San Antonio Spurs,SAS,82,8524,608,0.476,16
256,1992,Los Angeles Clippers,LAC,82,8440,498,0.473,17
257,1992,Washington Bullets,WSB,82,8395,422,0.461,18
258,1992,Houston Rockets,HOU,82,8366,571,0.475,19
259,1992,Philadelphia 76ers,PHI,82,8358,482,0.471,20
260,1992,Orlando Magic,ORL,82,8330,367,0.453,21
261,1992,New York Knicks,NYK,82,8328,382,0.477,22
262,1992,Minnesota Timberwolves,MIN,82,8237,526,0.458,23
263,1992,Los Angeles Lakers,LAL,82,8229,400,0.456,24
264,1992,Denver Nuggets,DEN,82,8176,461,0.442,25
265,1992,Detroit Pistons,DET,82,8113,357,0.465,26
266,1992,Dallas Mavericks,DAL,82,8007,349,0.439,27
267,1993,Phoenix Suns,PHO,82,9298,455,0.493,1
268,1993,Charlotte Hornets,CHH,82,9030,473,0.487,2
269,1993,Golden State Warriors,GSW,82,9014,383,0.482,3
270,1993,Portland Trail Blazers,POR,82,8898,425,0.458,4
271,1993,Seattle SuperSonics,SEA,82,8884,409,0.486,5
272,1993,Sacramento Kings,SAC,82,8847,348,0.463,6
273,1993,Indiana Pacers,IND,82,8836,403,0.48,7
274,1993,Cleveland Cavaliers,CLE,82,8832,536,0.497,8
275,1993,Atlanta Hawks,ATL,82,8814,278,0.466,9
276,1993,Los Angeles Clippers,LAC,82,8783,491,0.484,10
277,1993,Utah Jazz,UTA,82,8709,344,0.489,11
278,1993,Orlando Magic,ORL,82,8652,467,0.486,12
279,1993,San Antonio Spurs,SAS,82,8652,514,0.49,13
280,1993,Denver Nuggets,DEN,82,8626,565,0.46,14
281,1993,Chicago Bulls,CHI,82,8625,410,0.482,15
282,1993,Philadelphia 76ers,PHI,82,8556,566,0.456,16
283,1993,Los Angeles Lakers,LAL,82,8546,431,0.473,17
284,1993,Houston Rockets,HOU,82,8531,543,0.486,18
285,1993,Boston Celtics,BOS,82,8502,458,0.487,19
286,1993,Miami Heat,MIA,82,8495,350,0.456,20
287,1993,New Jersey Nets,NJN,82,8431,526,0.462,21
288,1993,Milwaukee Bucks,MIL,82,8392,393,0.472,22
289,1993,Washington Bullets,WSB,82,8353,359,0.467,23
290,1993,New York Knicks,NYK,82,8328,372,0.465,24
291,1993,Detroit Pistons,DET,82,8252,249,0.453,25
292,1993,Dallas Mavericks,DAL,82,8141,355,0.435,26
293,1993,Minnesota Timberwolves,MIN,82,8046,455,0.466,27
294,1994,Phoenix Suns,PHO,82,8876,460,0.484,1
295,1994,Golden State Warriors,GSW,82,8844,511,0.492,2
296,1994,Portland Trail Blazers,POR,82,8795,409,0.454,3
297,1994,Charlotte Hornets,CHH,82,8732,394,0.476,4
298,1994,Seattle SuperSonics,SEA,82,8687,365,0.484,5
299,1994,Orlando Magic,ORL,82,8666,456,0.485,6
300,1994,Miami Heat,MIA,82,8475,374,0.464,7
301,1994,New Jersey Nets,NJN,82,8461,576,0.445,8
302,1994,Los Angeles Clippers,LAC,82,8447,421,0.467,9
303,1994,Utah Jazz,UTA,82,8354,364,0.477,10
304,1994,Atlanta Hawks,ATL,82,8318,449,0.461,11
305,1994,Cleveland Cavaliers,CLE,82,8296,426,0.465,12
306,1994,Houston Rockets,HOU,82,8292,485,0.475,13
307,1994,Sacramento Kings,SAC,82,8291,355,0.452,14
308,1994,Indiana Pacers,IND,82,8280,457,0.486,15
309,1994,Boston Celtics,BOS,82,8267,440,0.472,16
310,1994,Los Angeles Lakers,LAL,82,8233,461,0.45,17
311,1994,Washington Bullets,WSB,82,8229,321,0.468,18
312,1994,Denver Nuggets,DEN,82,8221,686,0.465,19
313,1994,San Antonio Spurs,SAS,82,8202,450,0.475,20
314,1994,New York Knicks,NYK,82,8076,385,0.46,21
315,1994,Philadelphia 76ers,PHI,82,8033,525,0.455,22
316,1994,Chicago Bulls,CHI,82,8033,354,0.476,23
317,1994,Milwaukee Bucks,MIL,82,7949,407,0.447,24
318,1994,Detroit Pistons,DET,82,7949,309,0.452,25
319,1994,Minnesota Timberwolves,MIN,82,7930,440,0.457,26
320,1994,Dallas Mavericks,DAL,82,7801,299,0.432,27
321,1995,Orlando Magic,ORL,82,9091,488,0.502,1
322,1995,Phoenix Suns,PHO,82,9073,312,0.482,2
323,1995,Seattle SuperSonics,SEA,82,9055,392,0.491,3
324,1995,San Antonio Spurs,SAS,82,8742,456,0.484,4
325,1995,Utah Jazz,UTA,82,8726,392,0.512,5
326,1995,Golden State Warriors,GSW,82,8667,391,0.468,6
327,1995,Los Angeles Lakers,LAL,82,8616,563,0.463,7
328,1995,Houston Rockets,HOU,82,8491,514,0.48,8
329,1995,Dallas Mavericks,DAL,82,8462,348,0.44,9
330,1995,Portland Trail Blazers,POR,82,8451,467,0.451,10
331,1995,Boston Celtics,BOS,82,8428,361,0.464,11
332,1995,Chicago Bulls,CHI,82,8325,352,0.476,12
333,1995,Denver Nuggets,DEN,82,8309,585,0.479,13
